No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
288,3,0,0,-7.2,-13.91,-43.19,45.942
289,3,0,0,-7.18,-13.924,-42.034,44.858
290,3,0,0,-6.651,-13.895,-44.016,46.634
291,3,0,0,-7.923,-14.333,-44.846,47.743
292,3,0,0,-7.888,-14.356,-42.864,45.887
293,3,0,0,-7.609,-15.068,-44.026,47.151
294,3,0,0,-7.741,-14.503,-42.7,45.755
295,3,0,0,-7.754,-14.78,-43.858,46.927
296,3,0,0,-7.851,-16.099,-43.209,46.774
297,3,0,0,-7.609,-15.068,-44.026,47.151
298,3,0,0,-7.876,-15.08,-43.2,46.43
299,3,0,0,-7.163,-14.364,-41.707,44.689
300,3,0,0,-7.869,-15.371,-43.203,46.526
301,3,0,0,-6.58,-15.375,-42.046,45.25
302,3,0,0,-8.286,-15.379,-42.872,46.295
303,3,0,0,-7.144,-15.379,-42.046,45.337
304,3,0,0,-7.878,-15.365,-43.698,46.986
305,3,0,0,-7.878,-15.365,-43.698,46.986
306,3,0,0,-6.337,-14.487,-43.03,45.843
307,3,0,0,-7.698,-16.249,-42.715,46.345
308,3,0,0,-5.744,-15.934,-43.373,46.563
309,3,0,0,-7.468,-13.778,-42.198,45.014
310,3,0,0,-7.841,-15.676,-42.049,45.556
311,3,0,0,-8.151,-15.23,-43.036,46.374
312,3,0,0,-7.479,-14.487,-43.856,46.788
313,3,0,0,-6.856,-15.381,-41.716,44.987
314,3,0,0,-6.355,-13.759,-43.024,45.615
315,3,0,0,-7.603,-15.072,-43.696,46.843
316,3,0,0,-8.538,-16.833,-43.215,47.157
317,3,0,0,-7.872,-14.653,-42.37,45.519
318,3,0,0,-6.724,-15.946,-43.042,46.391
319,3,0,0,-7.133,-14.671,-40.388,43.558
320,3,0,0,-7.61,-13.636,-42.031,44.838
321,3,0,0,-6.58,-15.375,-42.046,45.25
322,3,0,0,-7.723,-15.23,-42.706,45.994
323,3,0,0,-8.922,-17.578,-42.065,46.455
324,3,0,0,-7.538,-15.402,-40.394,43.883
325,3,0,0,-6.977,-16.541,-42.222,45.88
326,3,0,0,-8.271,-15.389,-42.046,45.532
327,3,0,0,-7.151,-15.66,-42.875,46.202
328,3,0,0,-8.517,-16.846,-42.059,46.101
329,3,0,0,-7.682,-15.974,-41.391,45.026
330,3,0,0,-7.4,-16.544,-42.222,45.947
331,3,0,0,-6.298,-15.516,-42.213,45.413
332,3,0,0,-5.411,-15.68,-40.066,43.364
333,3,0,0,-8.511,-16.85,-41.729,45.8
334,3,0,0,-7.827,-15.686,-41.223,44.796
335,3,0,0,-8.102,-15.263,-40.228,43.783
336,3,0,0,-7.543,-16.114,-41.722,45.358
337,3,0,0,-8.672,-16.981,-43.052,47.085
338,3,0,0,-7.682,-16.546,-42.222,45.994
339,3,0,0,-6.808,-17.56,-42.065,46.089
340,3,0,0,-7.818,-16.408,-41.725,45.511
341,3,0,0,-8.12,-16.253,-42.715,46.418
342,3,0,0,-7.419,-15.529,-41.882,45.281
343,3,0,0,-7.012,-15.945,-43.373,46.74
344,3,0,0,-8.948,-15.699,-40.893,44.707
345,3,0,0,-7.157,-15.657,-43.205,46.509
346,3,0,0,-8.334,-17.304,-40.246,44.594
347,3,0,0,-7.825,-16.117,-41.722,45.406
348,3,0,0,-7.676,-16.55,-41.891,45.692
349,3,0,0,-8.097,-16.269,-41.393,45.207
350,3,0,0,-7.374,-16.562,-40.735,44.587
351,3,0,0,-8.366,-16.566,-41.065,45.064
352,3,0,0,-8.368,-17.28,-42.228,46.388
353,3,0,0,-7.856,-15.666,-42.875,46.319
354,3,0,0,-6.78,-18.152,-41.244,45.569
355,3,0,0,-8.334,-17.304,-40.246,44.594
356,3,0,0,-9.041,-18.024,-41.408,46.057
357,3,0,0,-7.373,-17.994,-42.73,46.946
358,3,0,0,-6.02,-15.94,-43.042,46.292
359,3,0,0,-8.323,-17.74,-40.249,44.766
360,3,0,0,-7.644,-17.288,-41.072,45.213
361,3,0,0,-8.264,-15.68,-42.049,45.632
